[2026-06-10 10:16:38.080] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:38.099] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:38.109] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:38.120] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:38.130] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:38.140] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:38.151] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:38.161] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:38.206] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:38.222] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:38.226] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:38.237] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:38.247] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:38.256] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:38.293] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:38.314] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:38.325] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:38.333] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:38.346] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:38.356] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:38.365] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:38.411] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:38.423] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:38.431] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:38.440] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:38.450] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:38.461] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:38.494] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:38.509] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:38.512] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:38.522] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:38.531] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:38.541] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:38.552] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:38.562] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:38.611] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:38.626] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:38.630] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:38.641] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:38.651] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:38.660] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:38.705] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:38.731] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:38.739] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:38.752] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:38.767] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:38.783] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:38.815] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:38.823] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:38.834] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:38.844] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:38.855] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:38.865] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:38.890] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:38.918] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:38.926] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:38.937] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:38.947] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:38.958] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:38.968] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:38.994] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:39.015] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:39.025] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:39.036] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:39.046] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:39.054] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:39.065] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:39.076] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:39.098] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:39.118] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:39.120] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:39.129] [info] event: set_vel_all, value: 98296310544000
